,Job Title,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Data Engineer,"We are from the Data Engineering Team in GovTech. Our main role is to support agencies in building data infrastructure to manage their data analytics products, so as to support citizen-centric services that serve the needs of Singaporeans.

We are expanding our team to scale up our work on on-premise systems and government commercial cloud. We are looking for enthusiastic and passionate data engineers who are keen to work on products and services that improve the lives of citizens and enhance service delivery.
What to Expect:
Build ingest pipelines to collect, clean, harmonise, merge and consolidate data sources
Design and build API gateways to expose data to systems via secure means
Integrate and collate data sources with data systems, with compliance to data security and organisational governance standards
Collaborate with product managers, software engineers, data analysts and data scientists to build scalable and data-driven products

How to Succeed:
Good understanding of system design, data structure and algorithms, data modelling, data access and data storage
Ability to write SQL for databases like Postgres, MongoDB, neo4j
Proficient in programming languages like R, Python and/or Go
Familiar with regular expressions and scripting languages like bash, korn, awk
Prior experience with data engineering tools and frameworks like Airflow, Kafka, Hadoop, Spark, Kubernetes
Comfortable with DevOps tools like Docker, Git, Terraform
Familiar with building and using CI/CD pipelines for platform development
Understand LDAP, OAuth, API gateways
Able to show some work using cloud technologies like Azure, AWS and Google Cloud
Working-level understanding of machine learning is an added advantage
Prior experience in designing, building and maintaining batch and real-time data pipelines is an added advantage
Applicants without experience are welcome to apply",3.6,"GovTech
3.6",Singapore,"Singapore, Singapore",1001 to 5000 employees,2016,Government,Government Agencies,Government,Unknown / Non-Applicable,-1
1,Senior Data Engineer,"Are you passionate about driving business & customer impact through thoughtful analysis and data-driven insights? Are you a deeply technical individual who enjoys working with customers to transform how a business operates? Are you a builder that excels with ambiguity? We are looking for Data Engineering professionals to drive our analytical revolution in the Talent Acquisition (TA) space. You get the opportunity to work on a ground up rebuild of our analytical capabilities, from data ingress, to complex business transformations to end user reporting and beyond. In this role, you will invent and build on behalf of candidates, experiment and test new ideas, evangelize successes, and drive consistency.

The ideal candidate is an independent Data Engineer who can source data, cleanse, analyze, refine, enrich, model, present, automate and document our business data pipelines. You will always be on the lookout for ways to optimize the information flow process, stay on top of latest trends in data warehousing and be able to coordinate and work on multiple, related projects.


Responsibilities:
- Collaborate with researchers, software developers, and business leaders to define business processes and provide analytical support
- Leverage code to analyze complex datasets and design, develop and evaluate data transformations to solve specific business problems
- Build scalable, efficient, and automated data processes to facilitate customer-facing reporting
- Automate TA processes to streamline business operations
- Communicate verbally or in writing to business customers / leadership to sharing insights and recommendations



Basic Qualifications

BASIC QUALIFICATIONS
- Degree in Computer Science or related engineering field
- Self-sufficient in data analysis
- Fluent in SQL
- Intermediate knowledge of big data technologies such as Spark
- Familiarity with BI Tools such as QuickSight, Tableau, and MicroStrategy
- Understands data warehouse design

- 5 years of experience in the analytics or related field


Preferred Qualifications

Preferred Qualifications
- Demonstrable expertise in dimensional modelling and Data Warehouse tuning
- Meets/exceeds Amazons leadership principles requirements for this role
- Meets/exceeds Amazons functional/technical depth and complexity for this role
- Strong understanding of information security as applied to handling sensitive data
- 7 years of experience in the analytics or related field


Amazon is an Equal Opportunity-Affirmative Action Employer Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation",4.1,"Amazon
4.1",Singapore,"Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,$10+ billion (SGD),"Google, Microsoft, Walmart"
2,Data Engineer,"Analytics
Data Engineer - QuantumBlack

Singapore City

Apply Now

Qualifications

Meaningful experience with at least two of the following technologies: Python, Scala, SQL, Java
Commercial client-facing project experience is helpful, including working in close-knit teams
Ability to work across structured, semi-structured, and unstructured data, extracting information and identifying linkages across disparate data sets
Meaningful experience in multiple database technologies such as Distributed Processing (Spark, Hadoop, EMR), Traditional RDBMS (MS SQL Server, Oracle, MySQL, PostgreSQL), MPP (AWS Redshift, Teradata), NoSQL (MongoDB, DynamoDB, Cassandra, Neo4J, Titan)
Ability to clearly communicate complex solutions
Deep understanding of Information Security principles to ensure compliant handling and management of client data
Experience and interest in Cloud platforms such as: AWS, Azure, Goole Platform or Databricks
Confirmed experience in traditional data warehousing / ETL tools (Informatica, Talend, Pentaho, DataStage)
Extraordinary attention to detail

Who You'll Work With


You will be based in Singapore and part of QuantumBlack, Our Consultant Data Engineers work closely with our clients and our Data Scientists in order to curate, transform and construct features which feed directly into our modelling approach.

This is a hybrid client-facing/technical role using state of the art technologies, whilst also being able to communicate complex intractable ideas to non-technical audiences. Collecting clear requirements is a key part of this role and will define the technical strategy the team employs on the study.

Who you are

A core value at QuantumBlack is fusion and at the heart of our multi-disciplinary teams is the belief that the sum of individual parts will always be less than the impact of the entire team. You are a highly collaborative individual who is capable of laying aside your own agenda, listening to and learning from colleagues, challenging thoughtfully and prioritising impact. You search for ways to improve things and work collaboratively with colleagues. You believe in iterative change, experimenting with new approaches, learning and improving to move forward quickly. Trust between colleagues is paramount here – you are an individual who can always be trusted to work in the best interests of all colleagues and to achieve the best outcome for QuantumBlack and our clients. You are naturally enthusiastic and enjoy sharing your passion with others.

What You'll Do


As a Senior Data Engineer in Singapore...

You will work in multi-disciplinary environments harnessing data to provide real-world impact for organisations globally. You will influence many of the recommendations our clients need to positively change their businesses and enhance performance.

Role responsibilities
Work with our clients to model their data landscape, obtain data extracts and define secure data exchange approaches
Acquire, ingest, and process data from multiple sources and systems into Big Data platforms
Understanding, assessing and mapping the data landscape.
Maintaining our Information Security standards on the engagement.
Collaborate with our data scientists to map data fields to hypotheses and curate, wrangle, and prepare data for use in their advanced analytical models.
Defining the technology stack to be provisioned by our infrastructure team.
Building modular pipeline to construct features and modelling tables.
Use new and creative techniques to deliver impact for our clients as well as internal R&D projects.
What you’ll learn
How successful projects on real world problems across a variety of industries are completed through referencing past deliveries of end to end pipelines.
Build products alongside the Core engineering team and evolve the engineering process to scale with data, handling complex problems and advanced client situations.
Be focused on the wrangling, clean-up and transformation of data by working alongside the Data Science team which focuses on modelling the data.
Using new technologies and problem-solving skills in a multicultural and creative environment.
You will work on the frameworks and libraries that our teams of Data Scientists and Data Engineers use to progress from data to impact. You will guide global companies through data science solutions to transform their businesses and enhance performance across industries including healthcare, automotive, energy and elite sport.
Real-World Impact– No project is ever the same; we work across multiple sectors, providing unique learning and development opportunities internationally.
Fusing Tech & Leadership– We work with the latest technologies and methodologies and offer first class learning programmes at all levels.
Multidisciplinary Teamwork- Our teams include data scientists, engineers, project managers, UX and visual designers who work collaboratively to enhance performance.
Innovative Work Culture– Creativity, insight and passion come from being balanced. We cultivate a modern work environment through an emphasis on wellness, insightful talks and training sessions.
Striving for Diversity– With colleagues from over 40 nationalities, we recognise the benefits of working with people from all walks of life.
Our projects range from helping pharmaceutical companies bring lifesaving drugs to market quicker to optimising a Formula1 car’s performance. At QuantumBlack you have the best of both worlds; all the benefits of being part of one of the leading management consultancies globally and the autonomy to thrive in a fast growth tech culture:
Healthcare Efficiency– We helped a healthcare provider improve their clinical trial practices by identifying congestion in diagnostic testing as a key indicator of admissions breaches.
Environmental Impact– We designed and built the first data-driven application for a state of the art centre of excellence in urban innovation by collecting real-time data from environmental sensors across London and deploying proprietary analytics to find unexpected patterns in air pollution.
Product Development– We worked with the CEO of an elite automotive organisation to reduce the 18-month car development timeframe by improving processes, designs and team structures.
Please submit your CV in English

Visit our Careers site to watch our video and read about our interview processes and benefits

As an equal opportunity employer, QuantumBlack encourages applications from all backgrounds regardless of gender, race, disability, pregnancy, marital status, age, sexual orientation, gender reassignment, religion or belief. We maintain a sense of community rooted in respect and consideration for all employees where any evaluation is based simply upon individual work and team performance.

Industries
High Tech

Functions
Technology

Apply Now
FOR U.S. APPLICANTS: McKinsey & Company is an Equal Opportunity/Affirmative Action employer.
All qualified applicants will receive consideration for employment without regard to sex, gender
identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran
status, age, or any other characteristic protected by applicable law.

FOR NON-U.S. APPLICANTS: McKinsey & Company is an Equal Opportunity employer. For additional details
regarding our global EEO policy and diversity initiatives, please visit our
McKinsey Careers and
Diversity & Inclusion sites.",4.1,"QuantumBlack
4.1",Singapore,"London, United Kingdom",501 to 1000 employees,2009,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,"Palantir Technologies, Google, Microsoft"
3,DATA SERVICES ENGINEER 1,"Req. ID: 136562

Micron Technology’s vision is to transform how the world uses information to enrich life and our commitment to people, innovation, tenacity, teamwork, and customer focus allows us to fulfill our mission to be a global leader in memory and storage solutions. This means conducting business with integrity, accountability, and professionalism while supporting our global community.

This role comes with great responsibility. You will be working on critical databases which is meaningful for the business.

Responsibilities:
Design, implement and manage mission critical databases and data warehouse for Manufacturing and Engineering operations.
Perform capacity planning, evaluate database technologies and tools to continuously improve database performance, reliability and availability.
Participate in Agile development lifecycle for software and solutions related to Manufacturing and Engineering.
Develop and maintain reliable data ingest pipeline for real time data analytics related to Smart Manufacturing and Big Data platforms.
Provide operation support, including participating in on-call rotations, to ensure high performance and availability of the databases.
Requirements:

Bachelor’s or Master’s degree Computer Science, Electrical & Electronics/Computer/Software Engineering, Information Systems or related fields.
Fresh graduates are welcome to apply. Candidates with minimum 4 years of relevant working experience may be considered for a senior position.
Experienced candidates need to be proficient in at least one of the following:
Microsoft SQL Server 2012/2016/2017 Administration
Oracle Database 11g/12c Administration
ETL/BI solutions using Microsoft SSIS, Informatica PowerExchange, NiFi or having database programming experience (TSQL, PL/SQL)
Good understanding and hands-on experience in the following areas will be advantageous:
Linux and Windows operation systems.
Programming languages such as Java, JavaScript, Bash and Python.
Hadoop based technologies such as HDFS, MapReduce, Hive, MongoDB, HBase, Spark, Kafka etc.
Big Data visualization and reporting software such as Tableau.
Effective oral and written communication with strong analytical, problem solving and project management skills.
Flexible to work on any shift.
We recruit, hire, train, promote, discipline and provide other conditions of employment without regard to a person's race, color, religion, sex, age, national origin, disability, sexual orientation, gender identity and expression, pregnancy, veteran’s status, or other classifications protected under law. This includes providing reasonable accommodation for team members' disabilities or religious beliefs and practices.

Each manager, supervisor and team member is responsible for carrying out this policy. The EEO Administrator in Human Resources is responsible for administration of this policy. The administrator will monitor compliance and is available to answer any questions on EEO matters.

To request assistance with the application process, please contact Micron’s Human Resources Department at 1-800-336-8918 (or 208-368-4748).

Keywords: Singapore || Central Singapore (SG-01) || Singapore (SG) || SGA || College || Regular || Information Systems and Technology || #LI-JJ1 ||",3.4,"Micron Technology
3.4",Singapore,"Boise, ID",10000+ employees,1978,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (SGD),"Samsung Electronics, SK hynix, Toshiba"
4,Data Engineer,"Data Engineer
Department: Engineering and Technology
Level: Entry Level
Office Location: Singapore

The Engineering and Technology team is at the core of the Shopee platform development. The team is made up of a group of passionate engineers from all over the world, striving to build the best systems with the most suitable technologies. Our engineers do not merely solve problems at hand; We build foundations for a long-lasting future. We don't limit ourselves on what we can or can't do; we take matters into our own hands even if it means drilling down to the bottom layer of the computing platform. Shopee's hyper-growing business scale has transformed most ""innocent"" problems into huge technical challenges, and there is no better place to experience it first-hand if you love technologies as much as we do.
Job Description:
Design and grow Shopee’s data warehouse, build reliable and smart ways to ingest data to the warehouse, and help engineer efficient data pipelines. Some examples include self-service data ingestion systems, Airflow-enabled workflows with code-as-configuration, and data validation tools
Build critical data marts and applications to support products and solve specific business needs, design data models for optimal storage and retrieval, and optimize data architectures to meet critical product and business requirements. Some examples include a real-time Campaign Mart (used to serve the business with live intelligence) and Order Mart (to supply low latency seller performance system)
Requirements:
B. Sci. / Ms / PhD in Computer Science or a related technical field
Less than 1 year of experience welcomed
Working experience in software development in at least one of these languages: Java, Scala, Python, C/C++, under Linux / Unix. Scala is a plus
Familiar with SQL; strong scripting ability in Bash is a plus
Familiar with Hadoop, Spark, Kafka, Presto, and other big data experience is a plus
Familiar designing and operating of a robust distributed system is a plus
Love to use and develop open-source technologies
Excited to work intimately with data
Passionate, self-motivated, and takes ownership",3.5,"Shopee
3.5",Singapore,"Singapore, Singapore",5001 to 10000 employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,"Lazada, Tokopedia"
5,"Software Engineer, Data Platform","Software Engineer, Data Platform
SingaporeR&DExperienced
Responsibilities
1. Build cutting-edge systems to handle huge amount of data every day, to empower ByteDance's products. Your contributions will impact hundreds of millions of users worldwide.
Build large scale data analytics products for EB-level datasets to respond user queries within seconds.
Equipped with product-oriented mindset, deeply understand domain knowledge from product to business, to efficiently enabling various data analysis scenarios across the whole of our products.
Qualifications
1. Understand principles of databases and/or distributed systems, able to think clearly, and quickly deep dive into problems and solve them.
Proficient in at least one programming languages listed here: C++, Java, Python.
Preferably knowledge in at least one existing system, for example, Hive/Kylin/Presto/ClickHouse/Spark/Hadoop. Contributor or committer to one or more of these projects are preferred.
Apply
Share to",3.9,"ByteDance
3.9",Singapore,"Beijing, China",10000+ employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
6,Systems Engineer,"1. Preparation of all relevant presales work but not limited to presentation and demonstration of software solutions/architecture including proof of concepts to facilitate sales closure

2. Part of project implementation team

3. End user training on developed applications

4. Preparation of implemented project documentation

Pre- requisites

a) Depgree in Computer eningeering or equivalent

b) conversant with Java programming including XML, Flash or HTML5

c) familiar with enterprise search and data analytics is an added advantage

d) familiar with Oracle or SQL

d) Conversant in English, Chinese and Bahasa Malayu

Successful candidate can look to work on latest AI tools and date anlytics in Asan",2.4,"IT Works Consultancy Pte Ltd
2.4",Bukit Merah,"Singapore, Singapore",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
7,Data Engineer,"Roles & Responsibilities

Key Responsibilities
Develops and maintains scalable data pipelines and builds out new API integrations to support growing data volume and complexity.
Collaborates with analytics and business teams to improve data models that feed business intelligence tools, increasing data accessibility and fostering data-driven decision making across the organization.
Implements processes and systems to monitor data quality, ensuring production data is always accurate and available for key stakeholders and business processes that depend on it.
Writes unit/integration tests, contributes to engineering wiki, and documents work.
Performs data analysis required to troubleshoot data related issues and assist in the resolution of data issues.
Works closely with a team of frontend and backend engineers, product managers, and analysts.
Designs data integrations and data quality framework.
Evaluates open source and vendor tools for data lineage.
Works closely with all business units and engineering teams to develop strategies for long term data platform architecture.
Requirements
BS or MS degree in Computer Science or a related technical field
4+ years of Python or Java development experience
4+ years of SQL experience (No-SQL experience is a plus)
4+ years of experience with schema design and dimensional data modeling
Ability in managing and communicating data warehouse plans to internal clients
Experience designing, building, and maintaining data processing systems including Data Lakes
2+ Years’ experience in using Cloud platforms by vendor such as AWS, Azure, Google with hands-on exposure to technology such as S3, Redshift, AWS Batch or the equivalents
[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]",4.1,"SINGAPORE LIFE PTE. LTD.
4.1",Singapore,"Tokyo, Japan",10000+ employees,-1,Company - Public,Insurance Operators,Insurance,$10+ billion (SGD),-1
8,Data Engineer,"Responsibilities:
Participate in R&D and performance optimization of big data platforms
Responsible for the construction and maintenance of big data platforms, including but not limited to BI systems, scheduling systems, metadata systems, development platforms, data analysis/mining platforms, etc.;
Understand STATS requirements and design corresponding data matrix.
Implement the ETL process using java, scala, spark Integrate stats into existing web portals.
Through the insight of data, build report to PM, marketing/operation executive and CEO.
Document the developed DATA process logic.
Troubleshoot irregular stats.
Improve the existing DATA system.

Requirements:
Bachelor degree either in Computer Science, Computer Engineering or equivalent
2 - 4 years of working experience
Familiar with data warehouse theory, with ability to comb with complex business requirements
Proficient in SQL development, proficient in one or more of relational databases such as Mysql
Proficient in Hadoop and MapReduce application development, proficient in one or more of big data development tools such as HBase, Hive, Storm, Impala, Kylin, spark, etc.
Be familiar with Linux system, have shell, python and other script development capabilities are preferred
Strong in learning ability, likes to study open source new technologies
Ability to solve problems independently.",3.6,"Mozat
3.6",Singapore,"Singapore, Singapore",51 to 200 employees,2003,Company - Public,Computer Hardware & Software,Information Technology,$10 to $25 million (SGD),-1
9,Data Engineer,"Roles & Responsibilities
Based in the Group Customer Analytics & Decisioning team, you will be responsible for developing & optimizing Treasury related data pipelines & architecture. These will support analytical needs around topics such as sales productivity and revenue process.
Create and maintain the optimal data pipeline architecture to enable ingestion from a wide variety of structured and unstructured data sources.
Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery and cleansing/transformation.
Support development and deployment of applications utilising the data pipelines to provide actionable insights.
LI-ML
Qualifications

Requirements

Minimum 7 years of working experience in data management, ETL and analysis functions
Understanding of banking with strong exposure to Treasury business functions
Leverage the subject matter experts across technology and business in delivery of structured and well-thought through solutions
Solid background in traditional structured database environments such as Teradata / Oracle, SQL & PL/SQL.
Knowledge on data warehouse and FSLDM concepts
Exposure to basic Hadoop Ecosystem components such as HIVE / Sqoop / Oozie
Experience in end to end automation – building procedures, ETL and automated job scheduling – using the likes of DataStage, Talend, Kafka, Airflow, Pentaho
Ideally some knowledge of analytical software tools such as Python / R / SAS / QlikView / Tableau / Spark
Energetic personality with an innovative, self-starting spirit. Someone that likes to ask “why?”

Primary Location: Singapore
Job: Analytics
Organization: Group Customer Analytics and Decisioning
Schedule: Permanent
: Full-time
Job Posting: 24-Apr-2020, 1:44:43 AM",3.6,"OCBC Bank
3.6",Singapore,"Singapore, Singapore",10000+ employees,1932,Company - Public,Banks & Building Societies,Finance,$10+ billion (SGD),"DBS Bank, United Overseas Bank"
